serialNumber,title,author,genre
111234,come second with serial 111234,Haitian Li,Test Case
111456,third with serial 111456,Haitian Li,Test Case 2
111144,should come first 111144,Haitian Li,Historical Fiction
211112,The Hobbit,J.R.R. Tolkien,Fantasy
211113,The Iliad,Homer,Poetry
211114,The Odyssey,Homer,Poetry
211115,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Comedy
211116,So Long and Thanks for all the Fish,Douglas Adams,Comedy
211204,final with 211204,Bob Kane,Genre testcase
211203,third show with 211203,J.K. Rowling,Genre testcase
211200,second show with 211200,J.K. Rowling,Genre testcase
211120,first show with 211120,J.K. Rowling,Genre testcase
211121,Harry Potter 4,J.K. Rowling,Fantasy
211122,Harry Potter 5,J.K. Rowling,Fantasy
211123,Harry Potter 6,J.K. Rowling,Fantasy
211124,Wasteland,T.S. Eliot,Poetry
211125,Biggles in the Battle,W.E. Johns,War
211126,Aeneid,Virgil,Epic
211127,Halloween,Jamie Lee Curtis,Horror
